Timestamp,Em qual Estado você mora?,Em qual cidade você mora?,Qual o seu sexo?,Qual a sua faixa etária?,Qual o seu nível de formação?,"Se você fez pelo menos graduação, qual a sua área de formação?",Em que tipo de organização você trabalha?,A organização na qual você trabalha atua em que área?,Qual a sua principal ocupação/cargo?,Quantos anos de experiência você possui em Visualização de dados?,Em que proporção você trabalha com Visualização de Dados?,Você foi contratado para trabalhar somente com Visualização de Dados?,"Das funções abaixo, qual a melhor descreve você no seu trabalho?",Qual a sua faixa salarial mensal?,Como a sua organização usa Visualização de Dados? Escolha todas as opções que se aplicam,Que tipo de métodos/ferramentas você usa na sua organização para criar visualizações? Marque todas as que você utiliza.,Você tem poder de decisão para escolher as ferramentas de trabalho?,Que tecnologias você usa para visualizar dados?,Você é obrigado(a) a trabalhar com ferramentas ou tecnologias de que não gosta?,Que outras tecnologias você gostaria de usar para criar visualizações?,Como você apresenta suas visualizações? Selecione todas as opções que se aplicam.,Que tipos de gráficos você produziu nos últimos 6 meses?,Quem é o público que vê as suas visualizações?,Que nível de conhecimento em visualização o seu público possui?,Qual o objetivo do seu público com relação a suas visualizações?,Você aprendeu Visualização de Dados de modo formal na escola/universidade ou sozinho(a)?,Quais são as melhores formas para aprender visualização de dados?,Você participou de algum curso/workshop em visualização de dados nos últimos 12 meses?,Que outras habilidades/competências você considera importantes para atuar em Visualização de dados?,Você compartilha os seus conhecimentos de Visualização de Dados?,"Se você respondeu sim à pergunta acima, de que forma você compartilha seus conhecimentos?",Você participa de alguma sociedade ou grupo de estudos voltado para Visualização de dados?,"Se você respondeu sim à pergunta acima, qual(is)?"
10/3/2019 15:30:53,Rio Grande do Norte (RN),Niterói,Masculino,Entre 35 e 45 anos,Pós-graduação: Doutorado,Matemática,Setor Público,Ciência,Professor Universitário,10,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Cientista,Entre R$10.000 e R$15.000,Educação,"Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.)",Sim,"D3, Angular, Python, Vega, WebGL, Canvas",Nunca,Tableau,"Embutida numa página Web interativa, Dashboard, Notebook interativo, Ferramenta","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot), Mapa de densidade, Mapa temático (choropleth), Diagrama de redes/grafos (nós e arestas)","Público em geral, Engenheiros, Cientistas","Básico, Intermediário","Análise, Pesquisa",A maior parte de modo autodidata,"Livros, Workshops ou cursos presenciais, Disciplina na educação formal",Não,"Matemática, Programação, Design",Sim,"Oriento colegas no trabalho, Ministro cursos como parte do meu trabalho",Sim,Data Visualization Society
10/3/2019 15:32:10,Rio de Janeiro (RJ),Rio de Janeiro,Masculino,Entre 35 e 45 anos,Graduação,Jornalismo,Setor Privado,Jornalismo,Editor-assistente,10,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições","Líder (gerente, diretor, coordenador, etc.)",Entre R$10.000 e R$15.000,Comunicação,"Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.), Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"D3, Excel, ggplot2, Illustrator, Python, QGIS, R, Tableau",Frequentemente,"Angular, Plotly, Processing, React, Vega, Web Components, WebGL, Canvas, P5/Processing","Embutida numa página Web interativa, Página Web Estática","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Mapa temático (choropleth), Diagrama de redes/grafos (nós e arestas), Diagrama de Fluxo (sankey, etc)",Público em geral,Básico,Jornalismo/Comunicação/Explicação,A maior parte de modo autodidata,"Livros, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Não,"Matemática, Design, Comunicação",Sim,Oriento colegas no trabalho,Não,-
10/3/2019 15:32:12,Bahia (BA),Camaçari,Masculino,Entre 25 e 35 anos,Graduação,Sistemas de informação,Setor Privado,Tecnologia,Analista de qualidade,1,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Analista,Entre R$2.000 e R$5.000,Análise,"Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Não,"Excel, Java",Frequentemente,"Java, React","Apresentação, Documento","Gráfico de barras / histograma, Gráfico de Pizza, Diagrama de redes/grafos (nós e arestas)",Gerentes,Básico,Análise,A maior parte em ambiente formal,"Livros, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Sim,"Programação, Comunicação",Sim,Oriento colegas no trabalho,Não,Não
10/3/2019 15:34:21,Rio Grande do Sul (RS),Porto Alegre,Masculino,Entre 25 e 35 anos,Pós-graduação: Mestrado,,Setor Público,Tecnologia,Desenvolvedor,3,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Desenvolvedor,Menos de R$2.000,"Comunicação, Educação","Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos","Em parte, pelo menos posso escolher de uma lista de ferramentas","D3, Highcharts, Canvas",Algumas vezes,"Angular, Leaflet, R, Tableau",Embutida numa página Web interativa,"Gráfico de barras / histograma, Gráfico de Pizza, Diagrama de redes/grafos (nós e arestas)","Público em geral, Analistas",Básico,"Análise, Educação, Acesso à informação","Metade formalmente, metade autodidata","Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Ensinando outras pessoas",Não,"Matemática, Programação, Design",Sim,Oriento colegas no trabalho,Não,nenhuma
10/3/2019 15:41:52,Rio de Janeiro (RJ),Rio de Janeiro,Masculino,Entre 45 e 55 anos,Pós-graduação: Mestrado,"Informática, Sistemas de Informação, Sistemas Distribuídos, Redes",Setor Privado,Tecnologia,Especialista Pesquisa e Desenvolvimento,17,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Engenheiro,Entre R$15.000 e R$20.000,Análise,"Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Planilhas (Google Spreadsheets e Excel)",Sim,"Excel, Google Spreadsheets, rrdtool, Splunk",Raramente,"D3, Highcharts, Leaflet, Python","Embutida numa página Web interativa, Dashboard, Apresentação, Documento","Gráfico de barras / histograma, Gráfico de Pizza","Público em geral, Analistas, Engenheiros, Cientistas, Gerentes, Executivos","Básico, Intermediário","Análise, Educação","Metade formalmente, metade autodidata","Workshops ou cursos presenciais, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Matemática, Programação, Design, Comunicação",Não,,Não,Não
10/3/2019 15:44:52,São Paulo (SP),Presidente Prudente,Masculino,Entre 35 e 45 anos,Pós-graduação: Doutorado,,Setor Público,Educação,Professor Doutor em RDIDP,15,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$10.000 e R$15.000,"Análise, Machine Learning, Educação","Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos, ferramentas e técnicas desenvolvidas no grupo de pesquisa",Sim,"D3, Excel, ggplot2, Gephi, Java, kepler.gl, Plotly, Python, R, Pen & Paper, Canvas, Matplotlib",Raramente,"Power BI, Tableau","Embutida numa página Web interativa, Dashboard, Notebook interativo, Apresentação, Documento, Ferramenta","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Diagrama de redes/grafos (nós e arestas), Diagrama de Fluxo (sankey, etc)","Público em geral, Analistas, Cientistas","Básico, Intermediário, Avançado","Análise, Pesquisa, Educação",A maior parte de modo autodidata,"Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Matemática, Programação, Design",Sim,"Oriento colegas no trabalho, Participo de fóruns de perguntas e respostas, Ministro cursos (fora do meu ambiente de trabalho), Ministro cursos como parte do meu trabalho",Sim,Grupos de pesquisa na universidade
10/3/2019 15:50:18,Distrito Federal (DF),Brasilia,Masculino,Entre 35 e 45 anos,Graduação,Engenharia Eletrônica,Setor Público,Governo / Finanças Públicas,Servidor Público Federal,2,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Analista,Entre R$20.000 e R$25.000,"Análise, Comunicação","Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)","Em parte, pelo menos posso escolher de uma lista de ferramentas","D3, ggplot2, Leaflet, R, Vega",Raramente,"Vue, WebGL, Greensock","Embutida numa página Web interativa, Página Web Estática","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa temático (choropleth), Diagrama de Fluxo (sankey, etc), dot plot, dumbbell chart, beeswarm","Público em geral, Analistas, Gerentes",Básico,"Jornalismo/Comunicação/Explicação, Análise",A maior parte de modo autodidata,"Livros, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Design, Comunicação, Empatia",Sim,"Oriento colegas no trabalho, Participo de fóruns de perguntas e respostas, Postagens em blogs e outras mídias",Sim,"Slacks: Data Visualization Society, Data Stories, Friends of the Pudding, D3.js"
10/3/2019 15:51:26,Rio Grande do Sul (RS),Porto Alegre,Masculino,Entre 45 e 55 anos,Pós-graduação: Doutorado,Computação,Setor Público,Educação,Professor,10,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$20.000 e R$25.000,"Análise, Educação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos","Em parte, pelo menos posso escolher de uma lista de ferramentas","D3, Angular, Excel, R, React, Pen & Paper",Algumas vezes,WebGL,"Dashboard, Apresentação","Gráfico de barras / histograma, Gráfico de Pizza, Gráfico de dispersão (scatter plot)","Público em geral, Médicos e outros profissionais de saúde, Gerentes, Executivos",Básico,"Análise, Educação",A maior parte de modo autodidata,"Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Não,"Programação, Design",Não,,Não,respondi nao
10/3/2019 15:52:55,Rio de Janeiro (RJ),Seropédica,Masculino,Entre 25 e 35 anos,Pós-graduação: Mestrado,Ciência da Computação,Setor Privado,Tecnologia,Cientista de dados sênior,3,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Desenvolvedor,"Entre R$5.000,00 e R$10.000","Análise, Machine Learning, Comunicação, Marketing","Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)",Sim,"Python, Matplotlib",Nunca,-,"Embutida numa página Web interativa, Dashboard, Apresentação, Ferramenta","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Diagrama de redes/grafos (nós e arestas)","Analistas, Engenheiros, Cientistas, Gerentes, Designers","Intermediário, Avançado","Jornalismo/Comunicação/Explicação, Análise",A maior parte de modo autodidata,"Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Matemática, Programação",Sim,Oriento colegas no trabalho,Não,n
10/3/2019 15:53:52,Fora do Brasil,New York City,Masculino,Entre 25 e 35 anos,Pós-graduação: Mestrado,Ciencia da Computacao,Setor Privado,Educação,PhD Student,6 anos,Visualização de dados é o principal foco do meu trabalho,Sim,Estudante,"Entre R$5.000,00 e R$10.000","Análise, Machine Learning, Comunicação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"D3, ggplot2, Python, R, React, Tableau",Raramente,"Vega, Vue","Embutida numa página Web interativa, Dashboard, Notebook interativo","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de pontos, Mapa de densidade","Público em geral, Analistas, Cientistas","Básico, Intermediário","Jornalismo/Comunicação/Explicação, Análise, Pesquisa",A maior parte em ambiente formal,"Livros, Exemplos, Praticando diretamente em um projeto",Sim,"Matemática, Programação, Design, Comunicação",Sim,Oriento colegas no trabalho,Sim,Paper reading groups
